"基本数量ＩＤ","数量タイプ","単位","総数量","１Ｆ","２Ｆ","３Ｆ","Ｂ１Ｆ","Ｂ２Ｆ"
"三菱乗用ＥＶエイジ９人トランク付２層用遮煙なし202307展開【合算】","実数","式","0","0","0","0","",""
"三菱乗用ＥＶエイジ９人トランク付２層用遮煙あり202307展開","実数","式","0","0","0","0","",""
"三菱乗用ＥＶエイジ９人トランク付２層用遮煙あり202307展開【差分追加】","実数","式","0","","","","",""
"三菱乗用ＥＶエイジ９人トランク付２層用遮煙あり202307展開【合算】","実数","式","0","0","0","0","",""
"三菱乗用ＥＶエイジ１３人２層用遮煙なし202307展開","実数","式","0","0","0","0","",""
"三菱乗用ＥＶエイジ１３人２層用遮煙なし202307展開【差分追加】","実数","式","0","","","","",""
"三菱乗用ＥＶエイジ１３人２層用遮煙なし202307展開【合算】","実数","式","0","0","0","0","",""
"三菱乗用ＥＶエイジ１３人２層用遮煙あり202307展開","実数","式","0","0","0","0","",""
"三菱乗用ＥＶエイジ１３人２層用遮煙あり202307展開【差分追加】","実数","式","0","","","","",""
"三菱乗用ＥＶエイジ１３人２層用遮煙あり202307展開【合算】","実数","式","0","0","0","0","",""
"東芝製乗用９人乗り（ＳＰＡＣＥＬ－ＳＲ９）遮煙あり　２層用202308修正","実数","式","0","0","0","0","",""
"東芝製乗用９人乗り（ＳＰＡＣＥＬ－ＳＲ９）遮煙あり　２層用202308修正【差分追加】","実数","式","0","","","","",""
"東芝製乗用９人乗り（ＳＰＡＣＥＬ－ＳＲ９）遮煙あり　２層用202308修正【合算】","実数","式","0","0","0","0","",""
"東芝製乗用１３人乗り（ＳＰＡＣＥＬ－ＳＲ１３）遮煙あり　２層用202308修正","実数","式","0","0","0","0","",""
"東芝製乗用１３人乗り（ＳＰＡＣＥＬ－ＳＲ１３）遮煙あり　２層用202308修正【差分追加】","実数","式","0","","","","",""
"東芝製乗用１３人乗り（ＳＰＡＣＥＬ－ＳＲ１３）遮煙あり　２層用202308修正【合算】","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶスイ~とモアSウェルスペーシア２停止遮煙なし202307展開","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶスイ~とモアSウェルスペーシア２停止遮煙なし202307展開【差分追加】","実数","式","0","","","","",""
"三菱日立小型ＥＶスイ~とモアSウェルスペーシア２停止遮煙なし202307展開【合算】","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶスイ~とモアSウェルスペーシア２停止遮煙あり202307展開","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶスイ~とモアSウェルスペーシア２停止遮煙あり202307展開【差分追加】","実数","式","0","","","","",""
"三菱日立小型ＥＶスイ~とモアSウェルスペーシア２停止遮煙あり202307展開【合算】","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶスイ~とモアSプラス２停止遮煙あり202307展開","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶスイ~とモアSプラス２停止遮煙あり202307展開【差分追加】","実数","式","0","","","","",""
"三菱日立小型ＥＶスイ~とモアSプラス２停止遮煙あり202307展開【合算】","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶＲメ～ト２停止遮煙あり202307展開","実数","式","0","0","0","0","",""
"三菱日立小型ＥＶＲメ～ト２停止遮煙あり202307展開【差分追加】","実数","式","0","","","","",""
"三菱日立小型ＥＶＲメ～ト２停止遮煙あり202307展開【合算】","実数","式","0","0","0","0","",""
"車いすセット設置工事（三菱）　ＡＧ202307展開","実数","台","0","0","0","0","",""
"車いすセット設置工事（三菱）　ＡＧ202307展開【差分追加】","実数","台","0","","","","",""
"車いすセット設置工事（三菱）　ＡＧ202307展開【合算】","実数","台","0","0","0","0","",""
"車いすセット設置工事（東芝）　ＡＧ202307展開","実数","台","0","0","0","0","",""
"車いすセット設置工事（東芝）　ＡＧ202307展開【差分追加】","実数","台","0","","","","",""
"車いすセット設置工事（東芝）　ＡＧ202307展開【合算】","実数","台","0","0","0","0","",""
"車いすセット設置（三菱日立）　ＡＧ202307展開","実数","台","0","0","0","0","",""
"車いすセット設置（三菱日立）　ＡＧ202307展開【差分追加】","実数","台","0","","","","",""
"車いすセット設置（三菱日立）　ＡＧ202307展開【合算】","実数","台","0","0","0","0","",""
"エレベーター箇所数　ＨＳ請負１便　２停止202307展開","実数","ケ所","0","0","0","0","",""
"乗用エレベーター架台組立て　ＡＧ202307展開","実数","台","0","0","0","0","",""
"乗用エレベーター架台組立て　ＡＧ202307展開【差分追加】","実数","台","0","","","","",""
"乗用エレベーター架台組立て　ＡＧ202307展開【合算】","実数","台","0","0","0","0","",""
"◆◆◆本体価格調整◆◆◆","","","0","","","","",""
"◆◆◆床面◆◆◆","","","0","","","","",""
"■床暖用床※積算補助入力対応","","","0","","","","",""
"ダウンフロアリビング領域＜差額＞","実数","P2","0","0","0","0","",""
"ＨＳダウンフロアリビング周囲長さ201604展開","実数","Ｐ","0","0","0","0","",""
"土間コンレベル下げ領域残土＜差額＞（ダウンフロアリビング）","実数","ｍ3","0","0","0","0","",""
"１階床暖房　床パネル差額１㎡当り","実数","㎡","0","0","0","0","",""
"１階床暖房合板貼り201801展開","実数","㎡","0","0","0","0","",""
"蓄熱ホットフロア用床調整","実数","㎡","0","0","0","0","",""
"蓄熱ベース暖房用床調整","実数","㎡","0","0","0","0","",""
"残土処分（蓄熱ベース暖房床下げ）＜差額＞","実数","ｍ3","0","0","0","0","",""
"１階床下げ調整工事（床暖房）","実数","㎡","0","0","0","0","",""
"２階・３階　いい床暖房Ⅱ用床調整","実数","㎡","0","0","0","0","",""
"２階・３階　温水床暖房用床調整","実数","㎡","0","0","0","0","",""
"２・３階　床暖房領域＜差額＞　ＨＳ請負１便","実数","㎡","0","0","0","0","",""
"◆◆◆１階床面◆◆◆2","","","0","","","","",""
"■部分調整※積算補助入力対応","","","0","","","","",""
"１階木製床　段差無し床上げ（増床）202201展開","実数","㎡","0","0","0","0","",""
"１階木製床　段差無し床上げ（増床）工事202201展開","実数","㎡","0","0","0","0","",""
"１階木製床　補強床仕様＜差額＞202201展開","実数","㎡","0","0","0","0","",""
"１階小型木製床　床補強工事202201展開","実数","㎡","0","0","0","0","",""
"◆◆◆２・３階床面◆◆◆2","","","0","","","","",""
"５Ｐ＋３００超え架構ユニット床面積　ＨＳ請負１便202201展開","実数","㎡","38.9","38.9","0","0","",""
"■部分調整※積算補助入力対応2","","","0","","","","",""
"２階段差無し　部分床上げ領域","実数","P2","0","0","0","0","",""
"２階床下地組み（段差無し床上げ工事）","実数","㎡","0","0","0","0","",""
"■２階・３階現施床調整※積算補助入力対応","","","0","","","","",""
"【減分用】床面積（架構体）　ＨＳ請負１便","実数","P2","0","0","0","0","",""
"【減分用】床面積（ＡＬＣｔ１００）　ＨＳ請負１便202304展開","実数","P2","0","0","0","0","",""
"■小屋裏現施床調整※積算補助入力対応","","","0","","","","",""
"■階段上収納調整※積算補助入力対応","","","0","","","","",""
"階段上収納面積1910改善","実数","㎡","0","0","0","0","",""
"階段上（吹抜部）収納組立1910改善","実数","㎡","0","0","0","0","",""
"◆◆◆２・３階和室床畳t30仕様床上げ調整◆◆◆","","","0","","","","",""
"２階和室床　ＡＬＣ床下げ面積","実数","㎡","0","0","0","0","",""
"◆◆◆スキップ収納関連◆◆◆","","","0","","","","",""
"スキップ収納面積（請負内）","実数","㎡","0","0","0","0","",""
"スキップ収納面積（請負外）","実数","㎡","0","0","0","0","",""
"スキップ収納施工（複合設定）","実数","㎡","0","0","0","0","",""
"スキップ架構組立","実数","㎡","0","0","0","0","",""
"◆◆◆傾斜地用スキップ収納関連◆◆◆","","","0","","","","",""
"傾斜地用スキップ収納面積（請負内）","実数","㎡","0","0","0","0","",""
"傾斜地用スキップ収納面積（請負外）","実数","㎡","0","0","0","0","",""
"傾斜地用スキップ収納施工（複合設定）","実数","㎡","0","0","0","0","",""
"スキップ架構組立（傾斜地用スキップ収納）","実数","㎡","0","0","0","0","",""
"◆◆◆屋根◆◆◆3","","","0","","","","",""
"■１２．５寸屋根調整※積算補助入力対応","","","0","","","","",""
"■棟部調整","","","0","","","","",""
"換気棟長さ　コロニアルクァッド瓦　ＨＳ請負202201展開","実数","ｍ","0","0","0","0","",""
"換気棟長さ　コロニアルグラッサ瓦　ＨＳ請負202201展開","実数","ｍ","0","0","0","0","",""
"■フラット屋根換気フード調整","","","0","","","","",""
"小屋裏ベントキャップ（防火ダンパー無）追加　Ⅳ・Ⅴ・Ⅵ地域202304条件式修正","実数","個","0","0","0","0","",""
"フラット屋根用換気口取付　Ⅳ・Ⅴ・Ⅵ地域202304条件式修正","実数","ケ所","0","0","0","0","",""
"■強風地仕様調整","","","0","","","","",""
"■軒先軒裏調整","","","0","","","","",""
"軒天井寸法調整","実数","ｍ","5.9","0","5.9","0","",""
"防火ガラリカバーヶ所（自然換気口軒天埋込ヶ所）201702条件式修正","実数","ケ所","0","0","0","0","",""
"シャッター雨戸軒天接触長　ＨＳ請負202101価格保証拡大","実数","Ｐ","0","0","0","0","",""
"埋込シャッターボックス下地工事201704展開","実数","ケ所","0","0","0","0","",""
"埋込シャッターボックス下地工事201704展開【差分追加】","実数","ケ所","0","","","","",""
"埋込シャッターボックス下地工事201704展開【合算】","実数","ケ所","0","0","0","0","",""
"◆◆◆外部付属品◆◆◆","","","0","","","","",""
"■屋根中バルコニー腰壁調整","","","0","","","","",""
"屋根中バルコニー腰壁長さ（笠木仕様・タイル用）　ＮＰ202201展開","実数","ｍ","0","0","0","0","",""
"屋根中バルコニー腰壁長さ（笠木仕様）　ＨＳ請負202101価格保証拡大","実数","ｍ","0","0","0","0","",""
"■外部附属品調整","","","0","","","","",""
"Ｈ型アルミフラット庇（バルコニー周辺配置）ヶ所数201607HS追加","実数","ケ所","0","0","0","0","",""
"Ｈ型アルミフラット庇（バルコニー周辺配置）ヶ所数201607HS追加【差分追加】","実数","ケ所","0","","","","",""
"Ｈ型アルミフラット庇（バルコニー周辺配置）ヶ所数201607HS追加【合算】","実数","ケ所","0","0","0","0","",""
"■開口付属部品調整","","","0","","","","",""
"シャッター雨戸 すずめ返し長さ202201展開","実数","Ｐ","3","3","0","0","",""
"すずめ返し取付201610地下室対応","実数","ケ所","1","1","0","0","",""
"シャッター上鳥よけカバー１Ｐ当り（１階）1710展開","実数","Ｐ","3","3","0","0","",""
"シャッター上鳥よけカバー１Ｐ当り（１階）1710展開【差分追加】","実数","Ｐ","0","","","","",""
"シャッター上鳥よけカバー１Ｐ当り（１階）1710展開【合算】","実数","Ｐ","3","3","0","0","",""
"シャッター上鳥よけカバー取付（１階）1710展開","実数","ケ所","1","1","0","0","",""
"シャッター上鳥よけカバー取付（１階）1710展開【差分追加】","実数","ケ所","0","","","","",""
"シャッター上鳥よけカバー取付（１階）1710展開【合算】","実数","ケ所","1","1","0","0","",""
"シャッター上鳥よけカバー１Ｐ当り（２階）1710展開","実数","Ｐ","0","0","0","0","",""
"シャッター上鳥よけカバー１Ｐ当り（２階）1710展開【差分追加】","実数","Ｐ","0","","","","",""
"シャッター上鳥よけカバー１Ｐ当り（２階）1710展開【合算】","実数","Ｐ","0","0","0","0","",""
"シャッター上鳥よけカバー取付（２階）1710展開","実数","ケ所","0","0","0","0","",""
"シャッター上鳥よけカバー取付（２階）1710展開【差分追加】","実数","ケ所","0","","","","",""
"シャッター上鳥よけカバー取付（２階）1710展開【合算】","実数","ケ所","0","0","0","0","",""
"アクセント庇（１００）ヶ所　ＮＰ202201展開","実数","ケ所","0","0","0","0","",""
"アクセント庇（１００）ヶ所　ＨＳ請負202201展開","実数","ケ所","0","0","0","0","",""
"アクセント庇（２００）長さ　ＮＰ202201展開","実数","Ｐ","0","0","0","0","",""
"アクセント庇（２００）長さ　ＨＳ請負202201展開","実数","Ｐ","0","0","0","0","",""
"庇取付201610演算式修正","実数","ｍ","0","0","0","0","",""
"◆◆◆内部◆◆◆2","","","0","","","","",""
"■床柱調整","","","0","","","","",""
"床柱（絞り丸太）本数","実数","本","0","0","0","0","",""
"高級床柱（絞り丸太）本数","実数","本","0","0","0","0","",""
"床柱（角）本数","実数","本","0","0","0","0","",""
"床柱（前丸）本数","実数","本","0","0","0","0","",""
"床柱（前彫）本数","実数","本","0","0","0","0","",""
"■内部建具調整","","","0","","","","",""
"上吊天井補強（補強材）（１Ｆ）（２Ｐ以内）1902展開","実数","ｍ","0.8","0.8","0","0","",""
"上吊天井補強（補強材）（２Ｆ）（２Ｐ以内）1902展開","実数","ｍ","5","5","0","0","",""
"上吊天井補強（補強材）（３Ｆ）（２Ｐ以内）1902展開","実数","ｍ","0","0","0","0","",""
"上吊建具天井補強木材１階～３階（２Ｐ以内）1902展開","実数","ｍ","5.7","5.7","0","0","",""
"上吊建具天井補強工事１階（２Ｐ超）1902展開","実数","ｍ","0","0","0","0","",""
"上吊建具天井補強工事２階（２Ｐ超）1902展開","実数","ｍ","0","0","0","0","",""
"上吊建具天井補強工事３階（２Ｐ超）1902展開","実数","ｍ","0","0","0","0","",""
"上吊建具天井補強木材１階（２Ｐ超）1902展開","実数","ｍ","0","0","0","0","",""
"上吊建具天井補強木材２階～（２Ｐ超）1902展開","実数","ｍ","0","0","0","0","",""
"■廊下手摺下地追加調整（間仕切パネル方式）※積算補助入力対応","","","0","","","","",""
"軽鉄間仕切　廊下手摺等下地追加１ｍ当り","実数","ｍ","0","0","0","0","",""
"■遮音間仕切調整（間仕切パネル方式）※積算補助入力対応","","","0","","","","",""
"軽鉄間仕切　遮音間仕切１Ｐ当り＜差額＞202201展開","実数","Ｐ","0","0","0","0","",""
"遮音間仕切組立＜差額＞201710展開","実数","ｍ","0","0","0","0","",""
"軽鉄間仕切　遮音間仕切（エアロハス用）１Ｐ当り＜差額＞202201展開","実数","Ｐ","3.3","0","3.3","0","",""
"［エアロハス］遮音間仕切　１ｍ当り＜差額＞202110展開","実数","ｍ","3","0","3","0","",""
"エアロハス遮音間仕切パネル組立＜差額＞202110展開","実数","ｍ","3","0","3","0","",""
"■勾配天井調整※積算補助入力対応","","","0","","","","",""
"屋根直下階天井吹抜面積＜差額＞Ｒ２Ｈ202201展開","実数","P2","0","0","0","0","",""
"勾配天井部水平面積　１㎡当り（一般仕様）202201展開","実数","㎡","0","0","0","0","",""
"勾配天井施工（複合設定）202201展開","実数","㎡","0","0","0","0","",""
"内部足場架払リース料（勾配天井部）1907展開","実数","ケ所","0","0","0","0","",""
"■遮音天井調整※積算補助入力対応","","","0","","","","",""
"主寝室遮音天井増貼Ｐ２当り追加","実数","P2","0","0","0","0","",""
"天井捨貼（１枚貼）（主寝室天井増貼：遮音）","実数","㎡","0","0","0","0","",""
"■内部下り天井調整※積算補助入力対応","","","0","","","","",""
"内部下り天井（洋室木目天井材仕上げ）　１㎡当り202201展開","実数","㎡","0","","","","",""
"内部天井下げ　１㎡当り201811展開","実数","㎡","8.1","8.1","0","0","",""
"部分天井下げ組み立て工事201811展開","実数","㎡","8.1","8.1","0","0","",""
"◆◆◆工事項目◆◆◆","","","0","","","","",""
"■仮設工事2","","","0","","","","",""
"バーチカルウォール・ユニット間足場201610条件式修正","実数","ケ所","0","0","0","0","",""
"■基礎工事（本体）調整","","","0","","","","",""
"ＨＳ布基礎ＲＧ１（７２０）Ｂ７００201704展開","実数","ｍ","46.8","46.8","0","0","",""
"ＨＳ布基礎ＲＧ１（７２０）Ｂ７００201704展開【差分追加】","実数","ｍ","-21.6","-21.6","","","",""
"ＨＳ布基礎ＲＧ１（７２０）Ｂ７００201704展開【合算】","実数","ｍ","25.2","25.2","0","0","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ４００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ４５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ５００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ５５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ６００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ６５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ７００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ７５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ８００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ８５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ９００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ９５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１０００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１０５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１１００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１１５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１２００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１２５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１３００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ１（６７０）Ｂ１３５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ４００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ４５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ５００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ５５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ６００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ６５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ７００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ７５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ８００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ８５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ９００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ９５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１０００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１０５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１１００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１１５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１２００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１２５０202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１３００202201展開","実数","ｍ","0","","","","",""
"ＨＳガレージ基礎ＲＧ２（６７０）Ｂ１３５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ１（７２０）Ｂ４００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ１（７２０）Ｂ４５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ１（７２０）Ｂ５００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ１（７２０）Ｂ５５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ１（７２０）Ｂ６００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ１（７２０）Ｂ６５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ１（７２０）Ｂ７００","実数","ｍ","21.6","21.6","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ４００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ４５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ５００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ５５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ６００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ６５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ７００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ７５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ８００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ８５０","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ９００","実数","ｍ","0","","","","",""
"ＨＳ偏芯基礎ＲＧ２（８２０）Ｂ９５０","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ３００Ｂ４５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ４５０Ｂ４５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ６００Ｂ５００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ７５０Ｂ５００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ９００Ｂ７００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ１０５０Ｂ１１５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ１２００Ｂ１２００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ１３５０Ｂ１４００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ１５００Ｂ１４５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ３００Ｂ９５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ４５０Ｂ９５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ６００Ｂ１１００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ７５０Ｂ１２００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ１　７２０Ｆ９００Ｂ１３５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ３００Ｂ５５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ４５０Ｂ５５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ６００Ｂ６００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ７５０Ｂ６００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ９００Ｂ８００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ１０５０Ｂ１１５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ１２００Ｂ１２００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ１３５０Ｂ１４００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ１５００Ｂ１４５０202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ３００Ｂ１４００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ４５０Ｂ１４００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ６００Ｂ１７００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ７５０Ｂ１９００202201展開","実数","ｍ","0","","","","",""
"ＨＳ深基礎ＲＧ２　８２０Ｆ９００Ｂ２２００202201展開","実数","ｍ","0","","","","",""
"ＨＳ－Ｌ深基礎断熱材設置＜高低差３００～６００差額＞","実数","ｍ","0","","","","",""
"ＨＳ－Ｌ深基礎断熱材設置＜高低差７５０～１０５０差額＞","実数","ｍ","0","","","","",""
"ＨＳ－Ｌ深基礎断熱材設置＜高低差１２００～１５００差額＞","実数","ｍ","0","","","","",""
"ＨＳ－Ｌ深基礎断熱材設置　Ⅱ地域＜高低差３００～６００差額＞","実数","ｍ","0","","","","",""
"ＨＳ－Ｌ深基礎断熱材設置　Ⅱ地域＜高低差７５０～１０５０差額＞","実数","ｍ","0","","","","",""
"ＨＳ－Ｌ深基礎断熱材設置　Ⅱ地域＜高低差１２００～１５００差額＞","実数","ｍ","0","","","","",""
"基礎弾性塗装仕上げ【深基礎差額】202204展開","実数","㎡","0","","","","",""
"ＨＳ－１５０ふかし基礎","実数","ｍ","0","0","0","0","",""
"ＨＳ－１５０ふかし基礎【差分追加】","実数","ｍ","0","","","","",""
"ＨＳ－１５０ふかし基礎【合算】","実数","ｍ","0","0","0","0","",""
"先行埋込アンカーヵ所201704展開","実数","ケ所","0","","","","",""
"長柱ポーチ用基礎差額202201展開","実数","ｍ","0","0","0","0","",""
"長柱ポーチ用基礎差額202201展開【差分追加】","実数","ｍ","0","","","","",""
"長柱ポーチ用基礎差額202201展開【合算】","実数","ｍ","0","0","0","0","",""
"■基礎工事（付帯工事）調整","","","0","","","","",""
"ＣＢ界壁布基礎（１５０巾）","実数","ｍ","0","0","0","0","",""
"土間コンクリート用配管ピット","実数","ケ所","5","5","0","0","",""
"廊下階段独立基礎（７００×７００×１５０）","実数","ケ所","0","0","0","0","",""
"ＢＸ階段・袖壁下基礎（７５０×１２００×１５０）","実数","ケ所","0","0","0","0","",""
"■シェルター工事調整","","","0","","","","",""
"階段開口部作業床　工事一式（２階用）（１ヶ所当り）2015年7月改定","実数","式","1","1","0","0","",""
"■電気工事調整","","","0","","","","",""
"幹線引込工事（３８ｍｍ２）","実数","式","1","1","0","0","",""
"エアコンスリーブ取付（プレ孔）202301展開","実数","ケ所","5","5","0","0","",""
"■屋内給排水給湯工事調整","","","0","","","","",""
"■シート防水工事調整","","","0","","","","",""
"住ベシート防水（ＨＳ）歩行平場（ＢＡＬ）＜１．２５Ｐ以上＞202204展開","実数","㎡","0","0","0","0","",""
"住ベシート防水（ＨＳ）歩行平場（ＢＡＬ）＜１．２５Ｐ以上＞202204展開【差分追加】","実数","㎡","0","","","","",""
"住ベシート防水（ＨＳ）歩行平場（ＢＡＬ）＜１．２５Ｐ以上＞202204展開【合算】","実数","㎡","0","0","0","0","",""
"住ベシート防水（ＨＳ）歩行平場（２階玄関）202204展開","実数","㎡","0","0","0","0","",""
